id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum
1,YDUY,26,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'nin 26. maddesine göre her yıl 1 Ocak tarihinden geçerli olmak üzere Bakanlığın ilgili biriminin elektronik adresinden yayınlanır.,DOGRU,Her yıl 1 Ocak tarihinden geçerli olmak üzere Bakanlığın ilgili biriminin elektronik adresinden yayınlanır.,,P1_madde_atifli,ONAY_BEKLIYOR
2,YDUY,3,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 3. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Bu Yönetmelikte geçen; a) (Değişik:RG-23/12/2022-32052) Bakanlık: Çevre, Şehircilik ve İklim Değişikliği Bakanlığını, b) Denetçi mimar ve mühendis: İlgili mühendis ve mimar meslek odalarına üyeliğ",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR
3,YDUY,12,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre izin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında haklarında Bakanlıkça gerekli işlemler yürütülür.",DOGRU,"İzin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında h",,P1_verbatim,ONAY_BEKLIYOR
4,TBDY,7.6.1.2,P2_sayisal,"TBDY 2018'e göre perdeler, planda uzun kenarının kalınlığına oranı en az dört olan düşey taşıyıcı sistem elemanlarıdır.",YANLIS,"Perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır.",,P2_swap(altı→dört),ONAY_BEKLIYOR
5,3194,23,P1_dogrudan,3194 sayılı Kanun'un 23. maddesine göre ana tesis yapıldığında yapı sahibi veya sahipleri lağım ayaklarını bu tesise bağlamaya mecburdurlar.,DOGRU,Ana tesis yapıldığında yapı sahibi veya sahipleri lağım ayaklarını bu tesise bağlamaya mecburdurlar.,,P1_madde_atifli,ONAY_BEKLIYOR
6,3194,10,P1_dogrudan,"3194 sayılı Kanun'un 10. maddesine göre belediyeler; imar planlarının yürürlüğe girmesinden en geç 3 ay içinde, bu planı tatbik etmek üzere 5 yıllık imar programlarını hazırlarlar.",DOGRU,"Belediyeler; imar planlarının yürürlüğe girmesinden en geç 3 ay içinde, bu planı tatbik etmek üzere 5 yıllık imar programlarını hazırlarlar.",,P1_madde_atifli,ONAY_BEKLIYOR
7,TBDY,11.2.5,P5_capraz,TBDY 2018'in 9.3.1.2 numaralı bendine göre duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,YANLIS,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,,P5_maddeshift(11.2.5→9.3.1.2),ONAY_BEKLIYOR
8,3194,0,P3_anakronizm,3194 sayılı İmar Kanunu 2003 yılında kabul edilmiştir.,YANLIS,yıl: 1985,,P3_yil,ONAY_BEKLIYOR
9,3194,8,P5_capraz,"İSG Risk Değerlendirmesi Yönetmeliği'ne göre mevcut ise bölge planı ve çevre düzeni plan kararlarına uygunluğu sağlanarak, belediye sınırları içinde kalan yerlerin nazım ve uygulama imar planları ilgili belediyelerce yapılır veya yaptırılır.",YANLIS,"Mevcut ise bölge planı ve çevre düzeni plan kararlarına uygunluğu sağlanarak, belediye sınırları içinde kalan yerlerin nazım ve uygulama imar planları ilgili belediyelerce yapılır veya yaptırılır.",,P5_lawshuffle(3194→ISGRISK),ONAY_BEKLIYOR
10,3194,38,P6_guncellik,3194 sayılı Kanun'un 38. maddesinde 1989 yılında değişiklik yapılmıştır.,DOGRU,"Halihazır harita ve imar planlarının hazırlanması ve bunların uygulanmasının fenni mesuliyetini; uzmanlık, çalışma konuları ve ilgili kanunlarına göre, mühendisler, mimarlar, şehir plancıları deruhte ",değişiklik: 1989,P6_yil,ONAY_BEKLIYOR
11,TBDY,3.2.1,P1_dogrudan,TBDY 2018'e göre ters yöndeki yerdeğiştirmeler için bu katsayılar aynı kazıklara ters sıra ile uygulanacaktır.,DOGRU,Ters yöndeki yerdeğiştirmeler için bu katsayılar aynı kazıklara ters sıra ile uygulanacaktır.,,P1_verbatim,ONAY_BEKLIYOR
12,TBDY,7.2.7.1,P1_dogrudan,TBDY 2018'in 7.2.7.1 numaralı bendine göre boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.,DOGRU,Boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.,,P1_madde_atifli,ONAY_BEKLIYOR
