id,kanun,madde,probe,iddia,gold,kaynak_alinti,degisiklik_notu,uretim_sablonu,durum,probe_alt
1,YDUY,26,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'nin 26. maddesine göre her yıl 1 Ocak tarihinden geçerli olmak üzere Bakanlığın ilgili biriminin elektronik adresinden yayınlanır.,DOGRU,Her yıl 1 Ocak tarihinden geçerli olmak üzere Bakanlığın ilgili biriminin elektronik adresinden yayınlanır.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
2,YDUY,3,P6_guncellik,"Yapı Denetimi Uygulama Yönetmeliği'nin 3. maddesi, ilk yayımlandığı 2008 yılından bu yana hiç değiştirilmemiştir.",YANLIS,"(1) Bu Yönetmelikte geçen; a) (Değişik:RG-23/12/2022-32052) Bakanlık: Çevre, Şehircilik ve İklim Değişikliği Bakanlığını, b) Denetçi mimar ve mühendis: İlgili mühendis ve mimar meslek odalarına üyeliğ",değişiklik: 2025,P6_degismedi,ONAY_BEKLIYOR,P6_degismedi
3,YDUY,12,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'ne göre izin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında haklarında Bakanlıkça gerekli işlemler yürütülür.",DOGRU,"İzin belgesi almaya hak kazanan yapı denetim kuruluşları, denetim faaliyeti yürütebilmek için 16 ncı maddenin birinci fıkrasında belirtilen denetçileri istihdam etmekle yükümlü olup, aksi takdirde aynı fıkra kapsamında h",,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
4,TBDY,7.6.1.2,P2_sayisal,"TBDY 2018'e göre perdeler, planda uzun kenarının kalınlığına oranı en az dört olan düşey taşıyıcı sistem elemanlarıdır.",YANLIS,"Perdeler, planda uzun kenarının kalınlığına oranı en az altı olan düşey taşıyıcı sistem elemanlarıdır.",,P2_swap(altı→dört),ONAY_BEKLIYOR,P2_swap
7,TBDY,11.2.5,P5_capraz,TBDY 2018'in 9.3.1.2 numaralı bendine göre duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,YANLIS,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,,P5_maddeshift(11.2.5→9.3.1.2),ONAY_BEKLIYOR,P5_maddeshift
11,TBDY,3.2.1,P1_dogrudan,TBDY 2018'e göre ters yöndeki yerdeğiştirmeler için bu katsayılar aynı kazıklara ters sıra ile uygulanacaktır.,DOGRU,Ters yöndeki yerdeğiştirmeler için bu katsayılar aynı kazıklara ters sıra ile uygulanacaktır.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
12,TBDY,7.2.7.1,P1_dogrudan,TBDY 2018'in 7.2.7.1 numaralı bendine göre boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.,DOGRU,Boyuna donatıların bindirmeli kaynaklı eklerinin ilgili kuruluşlardan sertifikalı kaynakçılar tarafından yapılması zorunludur.,,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
15,YDUY,12,P6_guncellik,Yapı Denetimi Uygulama Yönetmeliği'nin 12. maddesinde 2023 yılında değişiklik yapılmıştır.,DOGRU,(1) (Değişik:RG-8/7/2019-30825 Mükerrer) Yapı denetim kuruluşuna izin belgesi alabilmek için aşağıdaki şartlar sağlanır: a) Kuruluşun ödenmiş sermayesinin nama yazılı hisselerinin tamamı mimar veya in,değişiklik: 2023,P6_yil,ONAY_BEKLIYOR,P6_yil
18,YDUY,19,P1_dogrudan,"Yapı Denetimi Uygulama Yönetmeliği'nin 19. maddesine göre merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz.",DOGRU,"Merkez veya İl Yapı Denetim Komisyonu üyeliği yapanlar, bu üyelik sona erdikten sonraki iki yıl içinde, herhangi bir yapı denetim veya laboratuvar kuruluşunun ortağı olamaz.",,P1_madde_atifli,ONAY_BEKLIYOR,P1_madde_atifli
21,YDUY,33,P1_dogrudan,Yapı Denetimi Uygulama Yönetmeliği'ne göre yapılacak inceleme sonucunda belge iptaline karar verilmesi halinde 32 nci maddenin sekizinci fıkrasına göre güncellenerek teminatı irat kaydedilir.,DOGRU,Yapılacak inceleme sonucunda belge iptaline karar verilmesi halinde 32 nci maddenin sekizinci fıkrasına göre güncellenerek teminatı irat kaydedilir.,,P1_verbatim,ONAY_BEKLIYOR,P1_verbatim
