id,probe,uretim_sablonu,gold,kayitli_bent,gercek_bent,tek_yer,kayitli_sahte_birim,iddia,ETIKET_SONUCU
25,P5_capraz,P5_maddeshift(7.2.1.4→14.13.1.1),YANLIS,7.2.1.4,7.2.4,EVET,,"TBDY 2018'in 14.13.1.1 numaralı bendine göre kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastisite modülünün kullanılması zorunludur.",ALTIN DEGISMEZ (zaten YANLIS)
38,P5_capraz,P5_maddeshift(2.1.2→15.1.4),YANLIS,2.1.2,2.2.2,EVET,,"TBDY 2018'in 15.1.4 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",ALTIN DEGISMEZ (zaten YANLIS)
58,P5_capraz,P5_maddeshift(6.2.3→15.5.2.5),YANLIS,6.2.3,6.2~2,EVET,,"TBDY 2018'in 15.5.2.5 numaralı bendine göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",ALTIN DEGISMEZ (zaten YANLIS)
60,P5_capraz,P5_maddeshift(2.1.2→5.6.5.2),YANLIS,2.1.2,2.2.3,EVET,,"TBDY 2018'in 5.6.5.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",ALTIN DEGISMEZ (zaten YANLIS)
70,P5_capraz,P5_maddeshift(15.1→15.4.8),YANLIS,15.1,15.3.1,EVET,EVET,TBDY 2018'in 15.4.8 numaralı bendine göre gevrek olarak hasar gören elemanlarda bu sınıflandırma geçerli değildir.,ALTIN DEGISMEZ (zaten YANLIS)
123,P5_capraz,P5_maddeshift(7.2.1.4→3.3.3),YANLIS,7.2.1.4,7.2.4,EVET,,TBDY 2018'in 3.3.3 numaralı bendine göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şekilde kullanılacaktır.,ALTIN DEGISMEZ (zaten YANLIS)
127,P1_dogrudan,P1_verbatim,DOGRU,6.2.3,6.2~2,EVET,,"TBDY 2018'e göre mekanik ve Elektrik Donanımlar için Büyütme ve Davranış Katsayıları Mekanik veya Elektrik Donanım eB eR Havalandırma, ısıtma, soğutma sistemleri gibi sacdan yapılmış mekanik sistemler.",ALTIN DEGISMEZ (kaynak kaydi duzelir)
246,P1_dogrudan,P1_madde_atifli,DOGRU,2.1.2,2.2.3,EVET,,"TBDY 2018'in 2.1.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-3 (DD-3) DD-3 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %50 ve buna karşı gelen tekrarlanma periyodunun 72 yıl olduğu sık deprem yer hareketini nitelemektedir.",ALTIN DOGRU->YANLIS
257,P1_dogrudan,P1_madde_atifli,DOGRU,2.1.2,2.2.2,EVET,,"TBDY 2018'in 2.1.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.",ALTIN DOGRU->YANLIS
278,P1_dogrudan,P1_verbatim,DOGRU,14.5,14.15.4,EVET,EVET,TBDY 2018'e göre belirlenen düşey rijitlik ile hesapta göz önüne alınan düşey rijitlik arasındaki farkın deneyden elde edilen değere oranı %15’den fazla olmayacaktır.,ALTIN DEGISMEZ (kaynak kaydi duzelir)
304,P1_dogrudan,P1_madde_atifli,DOGRU,7.2.1.4,7.2.4,EVET,,TBDY 2018'in 7.2.1.4 numaralı bendine göre c50’den daha yüksek bet on sınıflarının kullanıldığı durumlarda kesitlerin eğilme momenti ve eksenel yük altındaki taşıma gücü hesaplarında betonda oluşan gerilme dağılımı ve elastisite modulü TS EN 1992- 1’de verilen şekilde kullanılacaktır.,ALTIN DOGRU->YANLIS
310,P5_capraz,P5_maddeshift(2.1.2→14.5.1),YANLIS,2.1.2,2.2.1,EVET,,"TBDY 2018'in 14.5.1 numaralı bendine göre deprem Yer Hareketi Düzeyi-1 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemektedir.",ALTIN DEGISMEZ (zaten YANLIS)
323,P1_dogrudan,P1_verbatim,DOGRU,16.11.1,16.6~2,EVET,,TBDY 2018'e göre statik su basıncı dışında tüm zemin basınçları düzgün yayılı olarak etki ettirilecektir.,ALTIN DEGISMEZ (kaynak kaydi duzelir)
351,P5_capraz,P5_maddeshift(15.2.1.3→16.7.3.3),YANLIS,15.2.1.3,15.2.2,EVET,,TBDY 2018'in 16.7.3.3 numaralı bendine göre bilgi düzeyleri sırasıyla sınırlı ve kapsamlı olarak sınıflandırılacaktır.,ALTIN DEGISMEZ (zaten YANLIS)
360,P1_dogrudan,P1_madde_atifli,DOGRU,2.1.2,2.2.1,EVET,,"TBDY 2018'in 2.1.2 numaralı bendine göre deprem Yer Hareketi Düzeyi-1 (DD-1) DD-1 Deprem Yer Hareketi , spektral büyüklüklerin 50 yılda aşılma olasılığının %2 ve buna karşı gelen tekrarlanma periyodunun 2475 yıl olduğu çok seyrek deprem yer hareketini nitelemektedir.",ALTIN DOGRU->YANLIS
364,P1_dogrudan,P1_madde_atifli,DOGRU,15.1,15.3.1,EVET,EVET,TBDY 2018'in 15.1 numaralı bendine göre gevrek olarak hasar gören elemanlarda bu sınıflandırma geçerli değildir.,ALTIN DOGRU->YANLIS
382,P1_dogrudan,P1_madde_atifli,DOGRU,7.2.1.4,7.2.4,EVET,,"TBDY 2018'in 7.2.1.4 numaralı bendine göre kesit Hesaplarında Kullanılacak Yöntem Bu bölüm kapsamında betonarme elemanların depreme dayanıklı olarak boyutlandırılmasında ve donatı hesaplarında TS 500’de verilen kabuller, betonda oluşan gerilme dağılımı ve elastisite modülünün kullanılması zorunludur.",ALTIN DOGRU->YANLIS
393,P1_dogrudan,P1_madde_atifli,DOGRU,14.5,14.15.4,EVET,EVET,TBDY 2018'in 14.5 numaralı bendine göre deneye tabi tutulan her iki yalıtım birimi için ikinci çevrimde hesaplanan etkin rijitlik ve etkin sönüm oranı: diğer tüm çevrimlerde %30’dan daha fazla değişim göstermeyecektir.,ALTIN DOGRU->YANLIS
426,P1_dogrudan,P1_verbatim,DOGRU,15.2.1.3,15.2.2,EVET,,TBDY 2018'e göre bilgi düzeyleri sırasıyla sınırlı ve kapsamlı olarak sınıflandırılacaktır.,ALTIN DEGISMEZ (kaynak kaydi duzelir)
444,P1_dogrudan,P1_verbatim,DOGRU,15.2.11.3,15.2.12,EVET,,"TBDY 2018'e göre malzeme dayanımları, özellikle belirtilmedikçe ilgili tasarım yönetmeliklerinde verilen malzeme katsayıları ile bölünmeyecektir.",ALTIN DEGISMEZ (kaynak kaydi duzelir)
476,P5_capraz,P5_maddeshift(16.11.1→9.2.1.1),YANLIS,16.11.1,16.6~2,EVET,,TBDY 2018'in 9.2.1.1 numaralı bendine göre statik su basıncı dışında tüm zemin basınçları düzgün yayılı olarak etki ettirilecektir.,ALTIN DEGISMEZ (zaten YANLIS)
