id,kanun,probe,gold,sebep,kirik_parcalar,kapsanma_korpus,kapsanma_taze,kaynak_alinti
67,6331,P6_guncellik,YANLIS,BOZUK_KELIME,sa|ğlık -> sağlık,0.950,0.600,(1) İşveren; a) Çalışanların işyerinde maruz kalacakları sa ğlık ve güvenlik risklerini dikkate alarak sağlık gözetimine tabi tutulmalarını sağlar. b) Aşağıdaki hallerde çalışanların sağlık muayeneler
105,6331,P5_capraz,YANLIS,BOZUK_KELIME,tehl|ikeli -> tehlikeli,1.000,0.588,"Mesleki eğitim alma zorunluluğu bulunan tehlikeli ve çok tehl ikeli sınıfta yer alan işlerde, yapacağı işle ilgili mesleki eğitim aldığını belgeleyemeyenler çalıştırılamaz."
145,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,görevl|endirilen -> görevlendirilen,1.000,0.250,"Tam süreli işyeri hekimi görevl endirilen işyerlerinde, diğer sağlık personeli görevlendirilmesi zorunlu değildir."
160,6331,P5_capraz,YANLIS,BOZUK_KELIME,yaz|ılı -> yazılı,1.000,0.632,"İşverenin işin durdurulmasını gerektiren hususların giderildiğini Bakanlığa yaz ılı olarak bildirmesi hâlinde, en geç yedi gün içinde işyerinde inceleme yapılarak işverenin talebi sonuçlandırılır."
163,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,ilg|ili -> ilgili,0.960,0.680,"Tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işye"
183,6331,P2_sayisal,YANLIS,BOZUK_KELIME,yaz|ılı -> yazılı,1.000,0.632,"İşverenin işin durdurulmasını gerektiren hususların giderildiğini Bakanlığa yaz ılı olarak bildirmesi hâlinde, en geç yedi gün içinde işyerinde inceleme yapılarak işverenin talebi sonuçlandırılır."
196,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,tehl|ikeli -> tehlikeli,1.000,0.588,"Mesleki eğitim alma zorunluluğu bulunan tehlikeli ve çok tehl ikeli sınıfta yer alan işlerde, yapacağı işle ilgili mesleki eğitim aldığını belgeleyemeyenler çalıştırılamaz."
212,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,koru|nma -> korunma,1.000,0.720,"İş kazası geçiren veya meslek hastalığına yakalanan çalışana işe başlamadan önce, söz konusu kazanın veya meslek hastalığının sebepleri, koru nma yolları ve güvenli çalışma yöntemleri ile ilgili ilave eğitim verilir."
300,6331,P6_guncellik,DOGRU,BOZUK_KELIME,nede|niyle -> nedeniyle | kı|sıtlanamaz -> kısıtlanamaz,0.955,0.545,"(1) İşyeri hekimi ve iş güvenliği uzmanlarının hak ve yetkileri, görevlerini yerine getirmeleri nede niyle kı sıtlanamaz. Bu kişiler, görevlerini mesleğin gerektirdiği etik ilkeler ve mesleki bağımsız"
307,6331,P5_capraz,YANLIS,BOZUK_KELIME,uyuştur|ucu -> uyuşturucu,1.000,0.615,"İşyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır."
329,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,uyuştur|ucu -> uyuşturucu,1.000,0.615,"İşyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır."
373,6331,P6_guncellik,DOGRU,BOZUK_KELIME,yükümlül|ükleri -> yükümlülükleri,0.963,0.704,"(1) Bu Kanunun; a) 4 üncü maddesinin birinci fıkrasının (a) ve (b) bentlerinde belirtilen yükümlül ükleri yerine getirmeyen işverene her bir yükümlülük için ayrı ayrı ikibin Türk Lirası, b) 6 ncı madd"
383,6331,P5_capraz,YANLIS,BOZUK_KELIME,görevl|endirilen -> görevlendirilen,1.000,0.250,"Tam süreli işyeri hekimi görevl endirilen işyerlerinde, diğer sağlık personeli görevlendirilmesi zorunlu değildir."
419,6331,P5_capraz,YANLIS,BOZUK_KELIME,ilg|ili -> ilgili,0.960,0.680,"Tehlikeli ve çok tehlikeli sınıfta yer alan işyerlerinde; yapılacak işlerde karşılaşılacak sağlık ve güvenlik riskleri ile ilg ili yeterli bilgi ve talimatları içeren eğitimin alındığına dair belge olmaksızın, başka işye"
448,6331,P1_dogrudan,DOGRU,BOZUK_KELIME,yaz|ılı -> yazılı,1.000,0.632,"İşverenin işin durdurulmasını gerektiren hususların giderildiğini Bakanlığa yaz ılı olarak bildirmesi hâlinde, en geç yedi gün içinde işyerinde inceleme yapılarak işverenin talebi sonuçlandırılır."
516,6331,P6_guncellik,YANLIS,BOZUK_KELIME,sa|ğlık -> sağlık,0.955,0.636,(1) İşveren; a) Çalışanların işyerinde maruz kalacakları sa ğlık ve güvenlik risklerini dikkate alarak sağlık gözetimine tabi tutulmalarını sağlar. b) Aşağıdaki hallerde çalışanların sağlık muayenelerinin yapılmasını sağ
535,6331,P6_guncellik,DOGRU,BOZUK_KELIME,uyuştur|ucu -> uyuşturucu,1.000,0.760,"(1) İşyerine, sarhoş veya uyuştur ucu madde almış olarak gelmek ve işyerinde alkollü içki veya uyuşturucu madde kullanmak yasaktır. (2) İşveren; işyeri eklentilerinden sayılan kısımlarda, ne gibi hallerde, hangi zamanda"
538,6331,P6_guncellik,DOGRU,BOZUK_KELIME,ibare|si -> ibaresi,0.971,0.735,"(1) İşyeri tehlike sınıfları; 31/5/2006 tarihli ve 5510 sayılı Sosyal 6 9/1/2025 tarihli ve 7538 sayılı Kanunun 20 nci maddesi ile bu fıkranın üçüncü cümlesinde yer alan “veya iş güvenliği uzmanınca,” ibare si “, iş güve"
541,6331,P6_guncellik,DOGRU,BOZUK_KELIME,önlemler|inin -> önlemlerinin,0.963,0.444,"(1) Aynı çalışma alanını birden fazla işverenin paylaşması durum unda işverenler; iş hijyeni ile iş sağlığı ve güvenliği önlemler inin uygulanmasında iş birliği yapar, yapılan işin yapısı göz önüne alınarak mesleki riskl"
551,6331,P6_guncellik,DOGRU,BOZUK_KELIME,ça|lışma -> çalışma,0.958,0.417,"(1) İşveren; a) Çalışma ortamı, kullanılan maddeler, iş ekipmanı ile çevr eşartlarını dikkate alarak meydana gelebilecek acil durumları önceden değerlendirerek, çalışanları ve ça lışma çevresini etkilemesi mümkün ve muht"
559,6331,P6_guncellik,DOGRU,BOZUK_KELIME,çal|ışma -> çalışma,1.000,0.708,"(1) Ciddi, yakın ve önlenemeyen tehlikenin meydana gelmesi durumunda işveren; a) Çalışanların işi bırakarak derhal çal ışma yerlerinden ayrılıp güvenli bir yere gidebilmeleri için, önceden gerekli düzenlemeleri yapar ve"
103,6331,P6_guncellik,YANLIS,INCELE,,0.952,0.619,"(1) İşyerindeki bina ve eklentilerde, çalışma yöntem ve şekillerinde veya iş ekipmanlarında çalışanlar için hayati tehlik eoluşturan bir husus tespit edildiğinde; bu tehlike giderilinceye kadar, hayat"
191,6331,P6_guncellik,DOGRU,INCELE,,0.950,0.650,"(1) Aşağıdaki konular ile bu nlara ilişkin usul ve esaslar Bakanlıkça çıkarılacak yönetmeliklerle düzenlenir: a) İlgili bakanlıkların görüşü alınarak, iş sağlığı ve güvenliğinin sağlanması, sürdürülme"
502,6331,P6_guncellik,YANLIS,INCELE,,0.957,0.652,"(1) İşyerindeki bina ve eklentilerde, çalışma yöntem ve şekillerinde veya iş ekipmanlarında çalışanlar için hayati tehlik eoluşturan bir husus tespit edildiğinde; bu tehlike giderilinceye kadar, hayati tehlikenin niteliğ"
550,4708,P6_guncellik,DOGRU,BOZUK_KELIME,hal|inde -> halinde | kurul|uşu -> kuruluşu | du|rumu -> durumu,0.964,0.357,"Yapı denetim kuruluşunu ngörevden ayrılması veya mimar ve/veya mühendislerinden birinin, herhangi bir sebeple yapı ile ilişkisinin kesilmesi hal inde yapı denetim kurul uşu du rumu; gerekçeleri ile birlikte en geç altı i"
560,4708,P6_guncellik,DOGRU,BOZUK_KELIME,bakanlığ|ın -> bakanlığın,0.970,0.606,"a) 3.2.2000 tarihli ve 595 sayılı Yapı Denetimi Hakkında Kanun 21 2/7/2018 tarihli ve 700 sayılı KHK’nin 137 nci maddesiyle, bu fıkrada yer alan “Bakanlığ ın teklifi üzerine Bakanlar Kurulu” ibaresi “Cumhurbaşkanı” şekli"
28,4708,P2_sayisal,YANLIS,INCELE,,1.000,0.588,"Birden fazla müstakil yapının bulunduğu parsellerde, bütün yapıların toplam yapı inşaat alanın ın 200 metrekareyi geçmesi hâlinde de bu Kanun uygulanır."
64,4708,P1_dogrudan,DOGRU,INCELE,,1.000,0.588,"Birden fazla müstakil yapının bulunduğu parsellerde, bütün yapıların toplam yapı inşaat alanın ın 200 metrekareyi geçmesi hâlinde de bu Kanun uygulanır."
91,4708,P6_guncellik,DOGRU,INCELE,,1.000,0.708,Bu Kanun kapsamına giren her türlü yapı; Bakanlıktan aldığı izin belge si ile çalışan ve münhasıran yapı denetimi ile uğraşan tüzel kişiliğe sahip yapı denetim kuruluşlarının denetimine tabidir. Yapı
235,4708,P5_capraz,YANLIS,INCELE,,1.000,0.588,"Birden fazla müstakil yapının bulunduğu parsellerde, bütün yapıların toplam yapı inşaat alanın ın 200 metrekareyi geçmesi hâlinde de bu Kanun uygulanır."
534,4708,P6_guncellik,DOGRU,INCELE,,1.000,0.500,"Bakanlık, bu Kanunun uygulanmasında yapı denetim kurulu şları ile laboratuvar kuruluşlarının işlem ve faaliyetlerini denetleme yetkisine sahiptir.19 Kanunun uygulanacağı iller20"
