id,tabaka,probe,kanun,gold
8,A_rastgele,P3_anakronizm,3194,YANLIS
28,A_rastgele,P2_sayisal,4708,YANLIS
36,A_rastgele,P4_uydurma,6331,YANLIS
39,A_rastgele,P6_guncellik,YDUY,YANLIS
55,B_bayrakli,P5_capraz,3194,YANLIS
60,A_rastgele,P5_capraz,TBDY,YANLIS
86,A_rastgele,P1_dogrudan,TBDY,DOGRU
89,B_bayrakli,P5_capraz,TBDY,YANLIS
90,A_rastgele,P2_sayisal,TBDY,YANLIS
92,B_bayrakli,P6_guncellik,4708,DOGRU
104,A_rastgele,P6_guncellik,YDUY,YANLIS
106,A_rastgele,P4_uydurma,ISGRISK,YANLIS
115,A_rastgele,P1_dogrudan,TBDY,DOGRU
130,A_rastgele,P4_uydurma,YDUY,YANLIS
138,B_bayrakli,P5_capraz,6331,YANLIS
142,A_rastgele,P2_sayisal,3194,YANLIS
146,A_rastgele,P3_anakronizm,ISGRISK,DOGRU
147,A_rastgele,P6_guncellik,6331,YANLIS
148,A_rastgele,P2_sayisal,TBDY,YANLIS
165,A_rastgele,P4_uydurma,4708,YANLIS
173,A_rastgele,P5_capraz,YDUY,YANLIS
174,B_bayrakli,P3_anakronizm,YDUY,YANLIS
175,A_rastgele,P3_anakronizm,6331,DOGRU
180,B_bayrakli,P6_guncellik,4708,DOGRU
188,A_rastgele,P5_capraz,3194,YANLIS
193,A_rastgele,P1_dogrudan,ISGRISK,DOGRU
198,B_bayrakli,P6_guncellik,4708,DOGRU
208,A_rastgele,P5_capraz,3194,YANLIS
211,B_bayrakli,P2_sayisal,TBDY,YANLIS
219,B_bayrakli,P3_anakronizm,YDUY,YANLIS
232,A_rastgele,P3_anakronizm,YDUY,DOGRU
248,A_rastgele,P5_capraz,TBDY,YANLIS
259,A_rastgele,P3_anakronizm,4708,YANLIS
264,A_rastgele,P4_uydurma,ISGRISK,YANLIS
268,A_rastgele,P5_capraz,TBDY,YANLIS
272,B_bayrakli,P1_dogrudan,YDUY,DOGRU
273,B_bayrakli,P1_dogrudan,TBDY,DOGRU
287,A_rastgele,P1_dogrudan,TBDY,DOGRU
290,A_rastgele,P6_guncellik,YDUY,DOGRU
330,A_rastgele,P1_dogrudan,3194,DOGRU
332,A_rastgele,P4_uydurma,ISGRISK,YANLIS
365,B_bayrakli,P2_sayisal,YDUY,YANLIS
375,B_bayrakli,P5_capraz,YDUY,YANLIS
378,A_rastgele,P2_sayisal,3194,YANLIS
389,A_rastgele,P1_dogrudan,TBDY,DOGRU
417,B_bayrakli,P1_dogrudan,3194,DOGRU
423,B_bayrakli,P3_anakronizm,4708,DOGRU
425,A_rastgele,P6_guncellik,YDUY,YANLIS
435,B_bayrakli,P2_sayisal,6331,YANLIS
437,A_rastgele,P2_sayisal,TBDY,YANLIS
453,B_bayrakli,P4_uydurma,TBDY,YANLIS
468,A_rastgele,P6_guncellik,3194,DOGRU
472,B_bayrakli,P1_dogrudan,TBDY,DOGRU
478,A_rastgele,P3_anakronizm,3194,YANLIS
