model,kosul,varyant,n,taahhut,kapsam,ayristirilamadi,kacinma,dogruluk,bacc,sens,spec,lam,ece,brier,ece_kayit,bacc_alt,bacc_ust,ece_gecerli
claude-haiku-4.5,E1,A,473,336,0.7104,0,129,0.5298,0.5298,0.5361,0.5235,-0.0255,0.2263,0.2968,336,0.4889,0.5702,True
claude-haiku-4.5,E2,A,473,472,0.9979,0,0,0.5551,0.5558,0.5695,0.5422,0.0611,0.207,0.2926,472,0.521,0.5891,True
claude-sonnet-5,E1,A,473,291,0.6152,0,178,0.6942,0.692,0.6357,0.7483,0.3254,0.0373,0.2066,291,0.6327,0.7504,True
claude-sonnet-5,E2,A,473,473,1.0,0,0,0.6342,0.6242,0.4484,0.8,0.2936,0.0634,0.2316,473,0.5848,0.6626,True
claude-sonnet-5-B,E1,B,473,290,0.6131,0,172,0.6517,0.65,0.5887,0.7114,0.237,0.0766,0.2202,290,0.5906,0.7068,True
claude-sonnet-5-B,E2,B,473,472,0.9979,0,0,0.6102,0.6001,0.417,0.7831,0.2093,0.084,0.2376,472,0.5604,0.6405,True
gemma3:12b,E1,A,473,467,0.9873,0,6,0.5503,0.5493,0.5294,0.5691,0.072,0.3666,0.3885,467,0.5139,0.5836,True
gemma3:12b,E1,B,473,467,0.9873,0,6,0.5503,0.5321,0.1622,0.902,0.0781,0.2418,0.3098,467,0.5126,0.5526,True
gemma3:12b,E2,A,473,473,1.0,0,0,0.5518,0.538,0.296,0.78,0.0679,0.225,0.3218,473,0.5076,0.5681,True
gemma3:12b,E2,B,473,473,1.0,0,0,0.5476,0.5342,0.3004,0.768,0.0719,0.2085,0.3012,473,0.5074,0.561,True
gemma3:27b,E1,A,473,459,0.9704,0,14,0.5556,0.5674,0.743,0.3918,0.1062,0.3336,0.3687,459,0.523,0.6115,True
gemma3:27b,E2,A,473,473,1.0,0,0,0.5307,0.5378,0.6637,0.412,0.0644,0.3549,0.3847,473,0.4955,0.5778,True
gemma3:4b,E1,A,473,424,0.8964,0,49,0.5071,0.5114,0.604,0.4189,0.0405,0.3566,0.398,424,0.4766,0.5456,True
gemma3:4b,E1,B,473,30,0.0634,1,442,0.6,0.6071,0.7143,0.5,0.2083,,,30,0.4747,0.7136,False
gemma3:4b,E2,A,473,471,0.9958,2,0,0.4989,0.5049,0.6081,0.4016,0.0534,0.3792,0.4147,471,0.4727,0.5366,True
gemma3:4b,E2,B,473,470,0.9937,3,0,0.5362,0.5097,0.0315,0.9879,0.0634,0.1538,0.2962,470,0.5003,0.5207,True
kural_taban_r3,E1,A,473,473,1.0,0,0,0.9852,0.986,1.0,0.972,0.9571,0.0148,0.0148,473,0.9705,0.998,True
kural_taban_r3,E2,A,473,473,1.0,0,0,0.9852,0.986,1.0,0.972,0.9571,0.0148,0.0148,473,0.9705,0.998,True
llama3.2:1b,E1,A,473,110,0.2326,215,148,0.5273,0.485,0.02,0.95,0.0021,0.3408,0.373,108,0.4604,0.5,True
llama3.2:1b,E2,A,473,14,0.0296,459,0,0.5,0.5,0.1429,0.8571,0.25,,,11,0.2857,0.7,False
llama3.2:3b-instruct-fp16,E1,A,473,419,0.8858,53,1,0.5274,0.5434,0.7744,0.3125,0.0675,0.3586,0.408,388,0.4999,0.5879,True
llama3.2:3b-instruct-fp16,E1,B,473,410,0.8668,63,0,0.5293,0.5051,0.0103,1.0,0.0537,,,1,0.5,0.5132,False
llama3.2:3b-instruct-fp16,E2,A,473,418,0.8837,55,0,0.5407,0.5,0.0,1.0,0.0355,0.2227,0.3469,418,0.5,0.5,True
llama3.2:3b-instruct-fp16,E2,B,473,388,0.8203,85,0,0.5309,0.5286,0.4731,0.5842,0.0035,0.4747,0.4798,257,0.4877,0.5715,True
llama3.2:3b-instruct-q4_K_M,E1,A,473,316,0.6681,154,3,0.4842,0.504,0.8176,0.1905,-0.016,0.4177,0.4311,306,0.4663,0.5422,True
llama3.2:3b-instruct-q4_K_M,E2,A,473,313,0.6617,160,0,0.5367,0.5,0.0,1.0,0.0565,0.2752,0.3841,313,0.5,0.5,True
llama3.2:3b-instruct-q5_K_M,E1,A,473,446,0.9429,27,0,0.5448,0.5318,0.2891,0.7745,0.0675,0.1694,0.3171,446,0.4963,0.5676,True
llama3.2:3b-instruct-q5_K_M,E2,A,473,453,0.9577,20,0,0.5342,0.5,0.0,1.0,0.0452,0.1662,0.3143,453,0.5,0.5,True
llama3.2:3b-instruct-q8_0,E1,A,473,418,0.8837,54,1,0.5335,0.5509,0.7938,0.308,0.0851,0.368,0.4171,386,0.5073,0.5963,True
llama3.2:3b-instruct-q8_0,E2,A,473,424,0.8964,49,0,0.5401,0.5,0.0,1.0,0.0352,0.2355,0.3531,424,0.5,0.5,True
qwen2.5:14b-instruct,E1,A,473,97,0.2051,0,376,0.567,0.5509,0.8627,0.2391,0.0981,0.3062,0.3515,97,0.4839,0.6159,True
qwen2.5:14b-instruct,E2,A,473,473,1.0,0,0,0.5137,0.5182,0.5964,0.44,0.0236,0.3339,0.376,473,0.4797,0.555,True
qwen2.5:32b-instruct,E1,A,473,82,0.1734,0,391,0.6951,0.6769,0.5278,0.8261,0.32,0.2244,0.2671,82,0.5833,0.7618,True
qwen2.5:32b-instruct,E1,B,473,9,0.019,0,464,0.7778,0.8,1.0,0.6,0.3333,,,9,0.5,1.0,False
qwen2.5:32b-instruct,E2,A,473,473,1.0,0,0,0.5666,0.5493,0.2466,0.852,0.1327,0.2868,0.3291,473,0.5269,0.5733,True
qwen2.5:32b-instruct,E2,B,473,473,1.0,0,0,0.5539,0.5434,0.3587,0.728,0.061,0.2164,0.3041,473,0.5118,0.5749,True
qwen2.5:3b-instruct-fp16,E1,A,473,344,0.7273,0,129,0.5523,0.5126,0.0573,0.9679,0.089,0.3003,0.3441,344,0.4922,0.5336,True
qwen2.5:3b-instruct-fp16,E2,A,473,473,1.0,0,0,0.5264,0.5162,0.3363,0.696,0.0117,0.4118,0.4338,473,0.4838,0.5475,True
qwen2.5:3b-instruct-q4_K_M,E1,A,473,458,0.9683,4,11,0.5328,0.5029,0.0467,0.959,0.0493,0.3291,0.3607,457,0.4886,0.5183,True
qwen2.5:3b-instruct-q4_K_M,E2,A,473,473,1.0,0,0,0.5518,0.5363,0.2646,0.808,0.0767,0.3278,0.3601,473,0.5106,0.5606,True
qwen2.5:3b-instruct-q5_K_M,E1,A,473,244,0.5159,1,228,0.5697,0.5124,0.0467,0.9781,0.0585,0.4211,0.4379,244,0.4898,0.535,True
qwen2.5:3b-instruct-q5_K_M,E2,A,473,473,1.0,0,0,0.537,0.5312,0.4305,0.632,0.0456,0.489,0.4903,473,0.4965,0.5655,True
qwen2.5:3b-instruct-q8_0,E1,A,473,311,0.6575,0,162,0.5531,0.5176,0.0769,0.9583,0.0959,0.2936,0.3369,311,0.4915,0.5436,True
qwen2.5:3b-instruct-q8_0,E2,A,473,473,1.0,0,0,0.5201,0.5116,0.3632,0.66,0.0155,0.4216,0.4439,473,0.4791,0.5442,True
qwen2.5:7b-instruct-fp16,E1,A,473,24,0.0507,0,449,0.5833,0.5286,0.8571,0.2,0.0333,,,24,0.4048,0.6353,False
qwen2.5:7b-instruct-fp16,E1,B,473,128,0.2706,1,344,0.4609,0.4917,0.9833,0.0,-0.0877,0.4848,0.4863,128,0.4722,0.5,True
qwen2.5:7b-instruct-fp16,E2,A,473,469,0.9915,4,0,0.4755,0.4934,0.8054,0.1815,0.0013,0.4267,0.4407,469,0.4628,0.523,True
qwen2.5:7b-instruct-fp16,E2,B,473,468,0.9894,5,0,0.5064,0.5055,0.4887,0.5223,0.0161,0.3231,0.3671,468,0.4669,0.5424,True
qwen2.5:7b-instruct-q4_K_M,E1,A,473,6,0.0127,0,467,0.6667,0.75,1.0,0.5,0.3333,,,6,0.5,0.875,False
qwen2.5:7b-instruct-q4_K_M,E1,B,473,160,0.3383,2,311,0.5,0.5169,0.7867,0.2471,-0.0638,0.3497,0.378,160,0.456,0.5855,True
qwen2.5:7b-instruct-q4_K_M,E2,A,473,473,1.0,0,0,0.4757,0.4992,0.9103,0.088,-0.0176,0.4459,0.4628,473,0.4775,0.5209,True
