model,kosul,varyant,yanit_orani,kacinma_orani,taahhut_orani,n_taahhut,taahhut_dogrulugu,dengeli_dogruluk,youden_J,d_prime,ECE,guven_AUROC,ayristirilamadi,puanlanabilir,metrik_yeterli
gemma3:12b,E1,A,1.0,0.0127,0.9873,467,0.5567,0.5562,0.1125,0.2833,0.3697,0.5173,0,1,1
gemma3:12b,E2,A,1.0,0.0,1.0,473,0.5412,0.5345,0.0691,0.2151,0.2481,0.5026,0,1,1
gemma3:27b,E1,A,1.0,0.0296,0.9704,459,0.5664,0.5729,0.1458,0.4083,0.3465,0.4778,0,1,1
gemma3:27b,E2,A,1.0,0.0,1.0,473,0.5412,0.5447,0.0893,0.2362,0.3659,0.515,0,1,1
gemma3:4b,E1,A,1.0,0.1036,0.8964,424,0.5094,0.5125,0.025,0.0643,0.3719,0.482,0,1,1
gemma3:4b,E2,A,0.9958,0.0,0.9958,471,0.4926,0.4954,-0.0092,-0.0238,0.3984,0.4665,2,1,1
llama3.2:1b,E1,A,0.5455,0.3129,0.2326,110,0.5091,0.4838,-0.0325,-0.4415,0.3481,0.5091,215,0,1
llama3.2:1b,E2,A,0.0296,0.0,0.0296,14,,,,,,,459,0,0
llama3.2:3b-instruct-fp16,E1,A,0.8879,0.0021,0.8858,419,0.5274,0.5368,0.0735,0.2229,0.3485,0.5383,53,1,1
llama3.2:3b-instruct-fp16,E2,A,0.8837,0.0,0.8837,418,0.5287,0.5,0.0,0.0369,0.2562,0.4721,55,1,1
llama3.2:3b-instruct-q4_K_M,E1,A,0.6744,0.0063,0.6681,316,0.4873,0.5012,0.0024,0.0091,0.3918,0.5369,154,0,1
llama3.2:3b-instruct-q4_K_M,E2,A,0.6617,0.0,0.6617,313,0.5144,0.5,0.0,0.019,0.2449,0.4749,160,0,1
llama3.2:3b-instruct-q5_K_M,E1,A,0.9429,0.0,0.9429,446,0.5291,0.5237,0.0474,0.1474,0.2105,0.4993,27,1,1
llama3.2:3b-instruct-q5_K_M,E2,A,0.9577,0.0,0.9577,453,0.5188,0.5,0.0,0.0239,0.2151,0.4628,20,1,1
llama3.2:3b-instruct-q8_0,E1,A,0.8858,0.0021,0.8837,418,0.5335,0.5439,0.0878,0.2727,0.3461,0.5327,54,1,1
llama3.2:3b-instruct-q8_0,E2,A,0.8964,0.0,0.8964,424,0.5283,0.5,0.0,0.0363,0.2677,0.48,49,1,1
qwen2.5:14b-instruct,E1,A,1.0,0.7949,0.2051,97,0.567,0.5509,0.1019,0.3836,0.317,0.4955,0,1,1
qwen2.5:14b-instruct,E2,A,1.0,0.0,1.0,473,0.5159,0.518,0.036,0.092,0.3346,0.4991,0,1,1
qwen2.5:32b-instruct,E1,A,1.0,0.8266,0.1734,82,0.6463,0.6423,0.2845,0.8134,0.3012,0.4694,0,1,1
qwen2.5:32b-instruct,E2,A,1.0,0.0,1.0,473,0.556,0.5477,0.0953,0.3493,0.301,0.5299,0,1,1
qwen2.5:3b-instruct-fp16,E1,A,1.0,0.2727,0.7273,344,0.5407,0.5116,0.0231,0.2512,0.3279,0.4911,0,1,1
qwen2.5:3b-instruct-fp16,E2,A,1.0,0.0,1.0,473,0.5116,0.5067,0.0133,0.0373,0.3988,0.4817,0,1,1
qwen2.5:3b-instruct-q4_K_M,E1,A,0.9915,0.0233,0.9683,458,0.5175,0.5015,0.0031,0.033,0.343,0.5038,4,1,1
qwen2.5:3b-instruct-q4_K_M,E2,A,1.0,0.0,1.0,473,0.537,0.5295,0.059,0.1964,0.3274,0.5369,0,1,1
qwen2.5:3b-instruct-q5_K_M,E1,A,0.9979,0.482,0.5159,244,0.5656,0.5121,0.0242,0.3311,0.3939,0.5205,1,1,1
qwen2.5:3b-instruct-q5_K_M,E2,A,1.0,0.0,1.0,473,0.5307,0.5279,0.0557,0.1445,0.4379,0.4856,0,1,1
qwen2.5:3b-instruct-q8_0,E1,A,1.0,0.3425,0.6575,311,0.5402,0.5161,0.0321,0.2796,0.3204,0.476,0,1,1
qwen2.5:3b-instruct-q8_0,E2,A,1.0,0.0,1.0,473,0.5053,0.5012,0.0024,0.0064,0.4088,0.4684,0,1,1
qwen2.5:7b-instruct-fp16,E1,A,1.0,0.9493,0.0507,24,,,,,,,0,1,0
qwen2.5:7b-instruct-fp16,E2,A,0.9915,0.0,0.9915,469,0.4861,0.4948,-0.0104,-0.0386,0.4018,0.5117,4,1,1
qwen2.5:7b-instruct-q4_K_M,E1,A,1.0,0.9873,0.0127,6,,,,,,,0,1,0
qwen2.5:7b-instruct-q4_K_M,E2,A,1.0,0.0,1.0,473,0.4863,0.4976,-0.0049,-0.0304,0.4117,0.5044,0,1,1
qwen2.5:7b-instruct-q5_K_M,E1,A,1.0,0.9662,0.0338,16,,,,,,,0,1,0
qwen2.5:7b-instruct-q5_K_M,E2,A,0.9915,0.0,0.9915,469,0.4712,0.4784,-0.0431,-0.1582,0.4097,0.5073,4,1,1
qwen2.5:7b-instruct-q8_0,E1,A,1.0,0.9619,0.0381,18,,,,,,,0,1,0
qwen2.5:7b-instruct-q8_0,E2,A,0.9683,0.0,0.9683,458,0.4803,0.4913,-0.0174,-0.0649,0.4072,0.5117,15,1,1
