model,kosul,varyant,yanit_orani,kacinma_orani,taahhut_orani,n_taahhut,taahhut_dogrulugu,dengeli_dogruluk,youden_J,d_prime,ECE,guven_AUROC,ayristirilamadi,puanlanabilir,metrik_yeterli
gemma3:12b,E1,B,1.0,0.0127,0.9873,467,0.5353,0.5282,0.0564,0.2708,0.2701,0.4856,0,1,1
gemma3:12b,E2,B,1.0,0.0,1.0,473,0.537,0.5305,0.0611,0.1869,0.2479,0.4655,0,1,1
gemma3:4b,E1,B,0.9979,0.9345,0.0634,30,0.6,0.6071,0.2143,0.5659,0.28,0.4907,1,1,1
gemma3:4b,E2,B,0.9937,0.0,0.9937,470,0.5213,0.5091,0.0181,0.3705,0.1566,0.4984,3,1,1
llama3.2:3b-instruct-fp16,E1,B,0.8668,0.0,0.8668,410,0.5122,0.505,0.0099,0.4896,0.05,,63,1,1
llama3.2:3b-instruct-fp16,E2,B,0.8203,0.0,0.8203,388,0.5284,0.5275,0.055,0.1393,0.4683,0.4474,85,1,1
qwen2.5:32b-instruct,E1,B,1.0,0.981,0.019,9,,,,,,,0,1,0
qwen2.5:32b-instruct,E2,B,1.0,0.0,1.0,473,0.5476,0.5425,0.0849,0.2402,0.2422,0.5044,0,1,1
qwen2.5:7b-instruct-fp16,E1,B,0.9979,0.7273,0.2706,128,0.4922,0.4922,-0.0156,-0.2637,0.4266,0.5162,1,1,1
qwen2.5:7b-instruct-fp16,E2,B,0.9894,0.0,0.9894,468,0.5128,0.5124,0.0248,0.0622,0.3173,0.5024,5,1,1
qwen2.5:7b-instruct-q4_K_M,E1,B,0.9958,0.6575,0.3383,160,0.525,0.5216,0.0433,0.1423,0.3194,0.5158,2,1,1
qwen2.5:7b-instruct-q4_K_M,E2,B,0.8753,0.0,0.8753,414,0.5435,0.5425,0.0849,0.2145,0.2918,0.5236,59,1,1
