kod,tabaka,N_tabaka,n_tabaka,agirlik,probe,kanun,madde,gold,kontrol,gecis1_kalite
50,N,33,33,1.0000,P5_capraz,TBDY,17.9.3,YANLIS,0,KIRLI/KIRLI
65,N,33,33,1.0000,P5_capraz,TBDY,16.5.2.1,YANLIS,0,KIRLI/KIRLI
76,N,33,33,1.0000,P1_dogrudan,6331,13,DOGRU,0,TEMIZ/BAGLAMSIZ
80,N,33,33,1.0000,P2_sayisal,TBDY,16.6.2,YANLIS,0,KIRLI/KIRLI
115,N,33,33,1.0000,P1_dogrudan,TBDY,17.2.4,DOGRU,0,KIRLI/KIRLI
122,N,33,33,1.0000,P1_dogrudan,TBDY,2.5.2.1,DOGRU,0,TEMIZ/BAGLAMSIZ
123,N,33,33,1.0000,P5_capraz,TBDY,7.2.1.4,YANLIS,0,KIRLI/KIRLI
144,N,33,33,1.0000,P2_sayisal,TBDY,4.5.3.2,YANLIS,0,KIRLI/TEMIZ
159,N,33,33,1.0000,P2_sayisal,TBDY,2.1.2,YANLIS,0,KIRLI/KIRLI
183,N,33,33,1.0000,P2_sayisal,6331,25,YANLIS,0,KIRLI/KIRLI
189,N,33,33,1.0000,P2_sayisal,TBDY,2.1.2,YANLIS,0,KIRLI/KIRLI
203,N,33,33,1.0000,P2_sayisal,TBDY,2.1.2,YANLIS,0,KIRLI/KIRLI
211,N,33,33,1.0000,P2_sayisal,TBDY,7.2.1.4,YANLIS,0,KIRLI/KIRLI
225,N,33,33,1.0000,P1_dogrudan,YDUY,32,DOGRU,0,TEMIZ/BAGLAMSIZ
243,N,33,33,1.0000,P5_capraz,TBDY,3.2.1,YANLIS,0,BAGLAMSIZ/BAGLAMSIZ
280,N,33,33,1.0000,P5_capraz,TBDY,15.2.4.2,YANLIS,0,KIRLI/KIRLI
283,N,33,33,1.0000,P5_capraz,TBDY,12.4.2.9,YANLIS,0,BAGLAMSIZ/BAGLAMSIZ
310,N,33,33,1.0000,P5_capraz,TBDY,2.1.2,YANLIS,0,KIRLI/KIRLI
315,N,33,33,1.0000,P1_dogrudan,TBDY,15.2.4.2,DOGRU,0,KIRLI/KIRLI
343,N,33,33,1.0000,P2_sayisal,TBDY,15.2.5.3,YANLIS,0,KIRLI/KIRLI
350,N,33,33,1.0000,P5_capraz,TBDY,7.2.5.3,YANLIS,0,TEMIZ/KIRLI
355,N,33,33,1.0000,P5_capraz,TBDY,4.3.4.2,YANLIS,0,KIRLI/KIRLI
359,N,33,33,1.0000,P5_capraz,TBDY,15.2.7.3,YANLIS,0,KIRLI/KIRLI
364,N,33,33,1.0000,P1_dogrudan,TBDY,15.1,DOGRU,0,BAGLAMSIZ/BAGLAMSIZ
365,N,33,33,1.0000,P2_sayisal,YDUY,14,YANLIS,0,BAGLAMSIZ/BAGLAMSIZ
372,N,33,33,1.0000,P1_dogrudan,TBDY,7.6.2.2,DOGRU,0,KIRLI/KIRLI
381,N,33,33,1.0000,P1_dogrudan,TBDY,12.6.3,DOGRU,0,KIRLI/TEMIZ
417,N,33,33,1.0000,P1_dogrudan,3194,23,DOGRU,0,BAGLAMSIZ/BAGLAMSIZ
431,N,33,33,1.0000,P5_capraz,TBDY,2.5.2.1,YANLIS,0,TEMIZ/BAGLAMSIZ
436,N,33,33,1.0000,P5_capraz,YDUY,14,YANLIS,0,BAGLAMSIZ/BAGLAMSIZ
462,N,33,33,1.0000,P2_sayisal,TBDY,17.4.2.2,YANLIS,0,BAGLAMSIZ/BAGLAMSIZ
475,N,33,33,1.0000,P1_dogrudan,TBDY,4.3.4.2,DOGRU,0,KIRLI/KIRLI
480,N,33,33,1.0000,P2_sayisal,TBDY,17.2.4,YANLIS,0,KIRLI/KIRLI
264,T,105,25,4.2000,P4_uydurma,ISGRISK,0,YANLIS,0,TEMIZ/TEMIZ
427,T,105,25,4.2000,P5_capraz,3194,32,YANLIS,0,TEMIZ/TEMIZ
289,T,105,25,4.2000,P3_anakronizm,3194,0,YANLIS,0,TEMIZ/TEMIZ
240,T,105,25,4.2000,P5_capraz,6331,25,YANLIS,0,TEMIZ/TEMIZ
439,T,105,25,4.2000,P5_capraz,TBDY,7.13.2.1,YANLIS,0,TEMIZ/TEMIZ
135,T,105,25,4.2000,P6_guncellik,YDUY,11,DOGRU,0,TEMIZ/TEMIZ
182,T,105,25,4.2000,P5_capraz,TBDY,7.2.5.3,YANLIS,0,TEMIZ/TEMIZ
165,T,105,25,4.2000,P4_uydurma,4708,0,YANLIS,0,TEMIZ/TEMIZ
119,T,105,25,4.2000,P1_dogrudan,TBDY,16.4.1,DOGRU,0,TEMIZ/TEMIZ
120,T,105,25,4.2000,P6_guncellik,YDUY,11,YANLIS,0,TEMIZ/TEMIZ
148,T,105,25,4.2000,P2_sayisal,TBDY,10.2.3.2,YANLIS,0,TEMIZ/TEMIZ
177,T,105,25,4.2000,P6_guncellik,YDUY,27,DOGRU,0,TEMIZ/TEMIZ
