oncelik,id,kanun,madde,probe,gold,agirlikli_karsi_pay,oy_sayisi,karsi_modeller,iddia,kaynak_alinti
1,7,TBDY,11.2.5,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 9.3.1.2 numaralı bendine göre duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.,Duvar ve döşeme panellerinde Gazbeton 5 sınıfından daha düşük bir gazbeton kalitesi kullanılmayacaktır.
2,22,YDUY,8,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'nin 30. maddesine göre yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür.","Yapı sahibi, yapı denetimi hizmet bedeli taksitlerini zamanında ödemek ile yükümlüdür."
3,33,TBDY,16.4.1,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 9.2.5.2 numaralı bendine göre sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır.","Sahaya özel araştırma ve değerlendirme gerektiren zeminler , ZF sınıfı zeminler olarak sınıflandırılmıştır."
4,35,TBDY,5.7,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'in 4.5 numaralı bendine göre panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.,Panellerin kaplamaları yapılırken birleşim vidalarının kaplamanın içine gömülmesine izin verilmeyecek ve vidaların profil/sac içine minimum 3 vida adımı ilerlemesi sağlanacaktır.
5,37,TBDY,16.13.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 2.5.1.2 numaralı bendine göre yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkileşimi analizlerinin yapılması gerekir.","Yapısal elemanlarla destekli şevlerde (örneğin: esnek duvarlar veya kazıklarla destekli şevler, ankrajlı veya çivili şevler vb.) zemin ve yapısal elemanların görece rijitlik farklarının dikkate alındığı zemin-yapı etkile"
6,38,TBDY,2.1.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 15.1.4 numaralı bendine göre deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir.","Deprem Yer Hareketi Düzeyi-2 (DD-2) DD-2 Deprem Yer Hareketi, spektral büyüklüklerin 50 yılda aşılma olasılığının %10 ve buna karşı gelen tekrarlanma periyodunun 475 yıl olduğu seyrek deprem yer hareketini nitelemektedir"
7,45,TBDY,11.2.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 7.3.7.1 numaralı bendine göre donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır.","Donatı yerleştirilecek ve tamamen harçla doldurulacak olan birimlerdeki boşluklar, delik oranı hesabında dikkate alınmayacaktır."
8,48,6331,4,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'un 4. maddesine göre çalışanların iş sağlığı ve güvenliği alanındaki yükümlülükleri, işverenin sorumluluklarını etkilemez.","Çalışanların iş sağlığı ve güvenliği alanındaki yükümlülükleri, işverenin sorumluluklarını etkilemez."
9,55,3194,28,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","3194 sayılı Kanun'un 20. maddesine göre ileri tasarım yöntemleri ve teknolojileri gerektiren özellik arz eden binaların projeleri, bu alanda Bakanlık tarafından çıkarılan yönetmelik çerçevesinde yeterli uzmanlığı haiz mühendislerin gözetiminde yapılır.","İleri tasarım yöntemleri ve teknolojileri gerektiren özellik arz eden binaların projeleri, bu alanda Bakanlık tarafından çıkarılan yönetmelik çerçevesinde yeterli uzmanlığı haiz mühendislerin gözetiminde yapılır."
10,66,6331,24,P6_guncellik,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",6331 sayılı Kanun'un 24. maddesinde 2024 yılında değişiklik yapılmıştır.,"(1) Bu Kanun hükümlerinin uygulanmasının izlenmesi ve teftişi, iş sağlığı ve güvenliği yönünden teftiş yapmaya yetkili Bakanlık iş müfettişlerince yapılır. Bu Kanun kapsamında yapılacak teftiş ve ince"
11,80,TBDY,16.6.2,P2_sayisal,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'e göre zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 40 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel kayma mukavemeti ve rijitliğindeki önemli oranda azalış olarak tanımlanacaktır.","Zemin sıvılaşması, yeraltı su seviyesinin altında yer alan ve yüzeyden 20 mderinliğe kadar olan kohezyonsuz ya da düşük kohezyonlu ( PI<%12 ) zeminlerin deprem sarsıntısı altında, boşluk suyu basıncındaki artışa paralel "
12,84,6331,10,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","6331 sayılı Kanun'un 2. maddesine göre işveren, iş sağlığı ve güvenliği yönü nden risk değerlendirmesi yapmak veya yaptırmakla yükümlüdür.","İşveren, iş sağlığı ve güvenliği yönü nden risk değerlendirmesi yapmak veya yaptırmakla yükümlüdür."
13,89,TBDY,4.4.4.2,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 17.6.7 numaralı bendine göre güvenlik Katsayıları ile Tasarım (GKT) yaklaşımının uygulanması durumunda, Bölüm 16’ya göre temel tasarımı dışında, Bölüm 9 ve Bölüm 10’da verilen yük birleşimleri kullanılacaktır.","Güvenlik Katsayıları ile Tasarım (GKT) yaklaşımının uygulanması durumunda, Bölüm 16’ya göre temel tasarımı dışında, Bölüm 9 ve Bölüm 10’da verilen yük birleşimleri kullanılacaktır."
14,92,4708,9,P6_guncellik,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",4708 sayılı Kanun'un 9. maddesinde 2024 yılında değişiklik yapılmıştır.,"(Değişik: 23/1/2008 – 5728/497 md.) (Değişik fıkra:5/12/2024-7534/14 md.) Bu Kanun hükümlerinin uygulanması sırasında, yapı denetim veya laboratuvar kuruluşunun icraî veya ihmalî davranışla yeni iş al"
15,94,TBDY,15.2.5.1,P1_dogrudan,DOGRU,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2",TBDY 2018'e göre projeler ölçümler ile önemli farklılıklar gösteriyor ise proje yok sayılır.,Projeler ölçümler ile önemli farklılıklar gösteriyor ise proje yok sayılır.
16,108,ISGRISK,17,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'ne göre işverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir.","İşverenlere, risk değerlendirmesi ile ilgili yükümlülükleri bakımından yardımcı olmak veya yol göstermek amacıyla risk değerlendirmesi rehberleri hazırlanabilir."
17,109,TBDY,5.3.2.1,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","TBDY 2018'in 17.4.1.3 numaralı bendine göre binanın taşıyıcı sistemini oluşturan kolon, kiriş ve betonarme perdelerde doğrusal olmayan davranış modeli olarak yayılı plastik davranış modelleri de kullanılabilir.","Binanın taşıyıcı sistemini oluşturan kolon, kiriş ve betonarme perdelerde doğrusal olmayan davranış modeli olarak yayılı plastik davranış modelleri de kullanılabilir."
18,110,ISGRISK,5,P5_capraz,YANLIS,1.000,3,"gemma3:4b/E2, gemma3:12b/E1, qwen2.5:14b-instruct/E2","Yapı Denetimi Uygulama Yönetmeliği'ne göre risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz.","Risk değerlendirmesinin gerçekleştirilmiş olması; işverenin, işyerinde iş sağlığı ve güvenliğinin sağlanması yükümlülüğünü ortadan kaldırmaz."
