RUHSAT-Bench — SATIR SONU NORMALIZASYON RAPORU
olcum: 2026-08-27T03:51:23Z · macOS · REKONSTRUKSIYON commit'i sonrasi

GECIS_LINUX.md 2.5 uyarinca CRLF -> LF. YALNIZ b'\r\n' -> b'\n' donusumu
yapildi; yalniz-CR baytlarina DOKUNULMADI (alan ici olabilir).
Normalizasyon ONCESI baytlar bir onceki commit'te (git show) durur.

etkilenen dosya: 87
yalniz-CR tasiyan dosya: 0

dosya                                                         CRLF  yalnizCR  once          sonra         
----------------------------------------------------------------------------------------------------------
data/iddialar/MEVZUAT-Bench-pilot_iddialar.csv                  61         0  40352d83a0d1  172dcd3b38ac  
data/iddialar/claims.json                                        1         0  15c927916170  5307efa0f6eb  
data/iddialar/uretilen_iddialar_v1.csv                         487         0  e19650283a47  49ad417f4c5a  
data/iddialar/uretilen_iddialar_v2_temiz.csv                   240         0  69c539b2a2aa  1f5d7549ed15  
data/iddialar/uretilen_iddialar_v4_temiz.csv                   473         0  d8d0c21e049f  5c99989ea66a  
data/iddialar/uretilen_iddialar_v5_p6dengeli.csv               474         0  e3ea793f5bcd  effbef1d1294  
data/iddialar/uretilen_iddialar_v6_onarilmis.csv               474         0  3f2b4b7b31d4  0245f88f861b  
data/iddialar/uretilen_iddialar_v7a.csv                        474         0  9d9de6e89357  471d629ec9fd  
data/iddialar/uretilen_iddialar_v7b.csv                        474         0  839af5a339c5  d8e0b8410ee3  
scripts/run_local.py                                             1         0  dfc62b448ef0  244c0549691b  
scripts/score_local.py                                           1         0  1c1cb75ba5d1  1d17b60579aa  
sonuclar/F4_on_kayit.txt                                         1         0  eca644491a68  6bb9f631d56f  
sonuclar/altin_adaylari.csv                                     22         0  26d042c9fead  0b2f311fef88  
sonuclar/altin_hatalari_v2.csv                                   2         0  b9ac61053f64  e05c24108be8  
sonuclar/belge_guncellik.txt                                   126         0  4d9f9855cc4f  15d46172cb2d  
sonuclar/dayanak_kaybi.csv                                      32         0  bcce4c5eb9f5  a4af9bca47d2  
sonuclar/denetim_anahtar.csv                                    55         0  e336e6e26d0e  03189e1b5711  
sonuclar/denetim_anahtar_v2.csv                                159         0  4ecfd919cce4  fc4b52f11db4  
sonuclar/denetim_kitabi_rapor.txt                               29         0  8308157bf795  c92661458f09  
sonuclar/denetim_konsol.txt                                     49         0  3350dc838a2e  4fad74dee466  
sonuclar/det1.jsonl                                             80         0  0c88be039264  3905640afd9b  
sonuclar/det2.jsonl                                             80         0  9017dd718e01  55a327be5fa4  
sonuclar/dus_sonda.jsonl                                        80         0  ae0a75505b71  cf54a4abb23e  
sonuclar/f4_frontier_cogunluk.jsonl                            946         0  3fd48cb6d7b3  fcffdbecbfa5  
sonuclar/f4_haiku_cogunluk.jsonl                               946         0  11559c6ceb0e  d25bf2a4c545  
sonuclar/f4_metrikler.csv                                       37         0  631125ecfebe  bf3ce5249ebb  
sonuclar/f4_metrikler_B.csv                                     13         0  28bdb767e0ea  076f5cb417e2  
sonuclar/f4_metrikler_frontier.csv                               3         0  de01046453c3  c2cb782fb3cd  
sonuclar/f4_metrikler_haiku.csv                                  3         0  78125c80edd4  46b8451cda22  
sonuclar/f4_rapor.txt                                          828         0  8a785c0a2453  a9895cdab31c  
sonuclar/f4_rapor_B.txt                                        342         0  d8ccdf32d6aa  7f9807deba8f  
sonuclar/f4_rapor_frontier.txt                                 105         0  4abb1244308f  d39d59c5b615  
sonuclar/f4_rapor_haiku.txt                                    107         0  e34f7e59840c  93a41a2fb33e  
sonuclar/f4_sonnetB_cogunluk.jsonl                             946         0  95cc98189aba  cbd00799ce10  
sonuclar/f4_sonnet_AB.jsonl                                   1892         0  2fad698f4107  7b564d8f26bf  
sonuclar/f4_sonuclar.jsonl                                   22704         0  cfea22693177  abb77457d2e5  
sonuclar/frontB_k1.jsonl                                       946         0  72d160436e1e  91b1525d6473  
sonuclar/frontB_k2.jsonl                                       946         0  e5dffae2dd97  589c76accb84  
sonuclar/frontB_k3.jsonl                                       946         0  f8f4f924f12d  21432f4cd648  
sonuclar/frontCB_k1.jsonl                                      946         0  d8a7eb9d1aa5  1ed42d5dd60e  
sonuclar/frontCB_k2.jsonl                                      946         0  d0fa5937e424  778201a2ab40  
