kapsanma,kaynak,hedef,temiz_mi_gecti,cumle
1.00,YDUY,4708,0,"Her ne suretle olursa olsun, alınan teminatlar haczedilemez ve üzerine ihtiyati tedbir konulamaz."
1.00,6331,4708,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
1.00,6331,3194,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
1.00,4708,YDUY,0,"Her ne suretle olursa olsun, alınan teminatlar haczedilemez ve üzerine ihtiyati tedbir konulamaz."
1.00,4708,6331,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
1.00,4708,3194,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
1.00,3194,6331,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
1.00,3194,4708,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça belirlenir.
0.92,ISGRISK,6331,0,"ı) Genç, yaşlı, engelli, gebe veya emziren çalışanlar gibi özel politika gerektiren gruplar ile kadın çalışanların durumu."
0.92,6331,ISGRISK,0,"ç) Genç, yaşlı, engelli, gebe veya emziren çalışanlar gibi özel politika gerektiren gruplar ile kadın çalışanların durumu."
0.67,YDUY,4708,0,"Komisyon, Bakanlıkça uygun görülen birimin bünyesinde faaliyetlerini yürütür."
0.67,3194,4708,0,Bu maddenin uygulanmasına ilişkin usul ve esaslar Bakanlıkça hazırlanan yönetmelikle belirlenir.
0.65,YDUY,4708,0,"Bakanlık, gerek görülen konular hakkında çalışmada bulunmak üzere ilgili kamu kurum ve kuruluşları ile meslek ve sivil toplum kuruluşlarının temsilcilerini oy hakları olmaksızın Komisyonda görevlendirebilir."
0.65,ISGRISK,6331,0,İşyerinde meydana gelen ancak yaralanma veya ölüme neden olmadığı halde işyeri ya da iş ekipmanının zarara uğramasına yol açan olaylara ilişkin kayıtlar.
