model,kosul,kacinma_A,kacinma_B,pDOGRU_A,pDOGRU_B,dogruluk_A,dogruluk_B,lambda_A,lambda_B,n_A,n_B,n_ortak,donen,donme_orani,mcnemar_p,ozete_dahil
gemma3:12b,E1,0.0127,0.0127,0.4775,0.1285,0.5567,0.5353,0.0906,0.0349,467,467,463,162,0.3499,0.0,1
gemma3:12b,E2,0.0,0.0,0.2558,0.2643,0.5412,0.537,0.0373,0.0413,473,473,473,38,0.0803,0.627103,1
gemma3:4b,E1,0.1036,0.9345,0.592,0.6,0.5094,0.6,0.0477,0.2083,424,30,30,3,0.1,0.25,1
gemma3:4b,E2,0.0,0.0,0.603,0.0213,0.4926,0.5213,0.035,0.0202,471,470,468,271,0.5791,0.0,1
llama3.2:3b-instruct-fp16,E1,0.0021,0.0,0.7279,0.0049,0.5274,0.5122,0.0675,0.0067,419,410,381,271,0.7113,0.0,1
llama3.2:3b-instruct-fp16,E2,0.0,0.0,0.0,0.4433,0.5287,0.5284,0.0,-0.0044,418,388,342,138,0.4035,0.0,1
qwen2.5:32b-instruct,E1,0.8266,0.981,0.3293,0.6667,0.6463,0.7778,0.2057,0.3333,82,9,9,0,0.0,1.0,0
qwen2.5:32b-instruct,E2,0.0,0.0,0.1945,0.3129,0.556,0.5476,0.102,0.0426,473,473,473,64,0.1353,0.0,1
qwen2.5:7b-instruct-fp16,E1,0.9493,0.7273,0.8333,0.9922,0.5833,0.4922,0.0333,-0.0175,24,128,19,0,0.0,1.0,0
qwen2.5:7b-instruct-fp16,E2,0.0,0.0,0.8124,0.4829,0.4861,0.5128,0.0319,0.0347,469,468,464,152,0.3276,0.0,1
qwen2.5:7b-instruct-q4_K_M,E1,0.9873,0.6575,0.6667,0.7688,0.6667,0.525,0.3333,-0.0097,6,160,4,0,0.0,1.0,0
qwen2.5:7b-instruct-q4_K_M,E2,0.0,0.0,0.9112,0.4565,0.4863,0.5435,0.013,0.0504,473,414,414,183,0.442,0.0,1
