model,kosul,kapsam,genel_dogruluk,taahhut_dogrulugu,hata,yuksek_guvenli_hata80,parse_hatasi,P1_dogrudan_dogru/cevap(+kacinma),P2_sayisal_dogru/cevap(+kacinma),P3_anakronizm_dogru/cevap(+kacinma),P4_uydurma_dogru/cevap(+kacinma),P5_capraz_dogru/cevap(+kacinma)
gemma3:12b,E1,1.0,0.667,0.667,20,19,0,16/23(+0),8/16(+0),4/6(+0),7/8(+0),5/7(+0)
gemma3:12b,E2,1.0,0.717,0.717,17,3,0,7/23(+0),16/16(+0),6/6(+0),8/8(+0),6/7(+0)
gemma3:27b,E1,1.0,0.683,0.683,19,18,0,21/23(+0),4/16(+0),5/6(+0),6/8(+0),5/7(+0)
gemma3:27b,E2,1.0,0.683,0.683,19,19,0,21/23(+0),4/16(+0),5/6(+0),6/8(+0),5/7(+0)
gemma3:4b,E1,0.967,0.617,0.638,21,12,0,12/23(+0),9/14(+2),4/6(+0),6/8(+0),6/7(+0)
gemma3:4b,E2,1.0,0.667,0.667,20,13,0,14/23(+0),11/16(+0),4/6(+0),6/8(+0),5/7(+0)
llama3.2:1b,E1,0.283,0.133,0.471,9,4,18,0/9(+7),8/8(+7),0/0(+3),0/0(+4),0/0(+4)
llama3.2:1b,E2,0.05,0.033,0.667,1,1,57,0/1(+0),2/2(+0),,,
llama3.2:3b-instruct-fp16,E1,1.0,0.433,0.433,34,5,0,19/23(+0),3/16(+0),1/6(+0),2/8(+0),1/7(+0)
llama3.2:3b-instruct-fp16,E2,0.95,0.6,0.632,21,1,3,0/21(+0),15/15(+0),6/6(+0),8/8(+0),7/7(+0)
llama3.2:3b-instruct-q4_K_M,E1,0.817,0.383,0.469,26,3,8,13/21(+0),4/13(+0),0/3(+2),3/7(+1),3/5(+0)
llama3.2:3b-instruct-q4_K_M,E2,0.75,0.483,0.644,16,2,15,0/16(+0),12/12(+0),5/5(+0),6/6(+0),6/6(+0)
llama3.2:3b-instruct-q5_K_M,E1,1.0,0.6,0.6,24,1,0,9/23(+0),10/16(+0),4/6(+0),7/8(+0),6/7(+0)
llama3.2:3b-instruct-q5_K_M,E2,0.95,0.617,0.649,20,1,3,0/20(+0),16/16(+0),6/6(+0),8/8(+0),7/7(+0)
llama3.2:3b-instruct-q8_0,E1,1.0,0.467,0.467,32,4,0,19/23(+0),2/16(+0),2/6(+0),3/8(+0),2/7(+0)
llama3.2:3b-instruct-q8_0,E2,0.967,0.6,0.621,22,3,2,0/22(+0),15/15(+0),6/6(+0),8/8(+0),7/7(+0)
qwen2.5:14b-instruct,E1,0.333,0.217,0.65,7,6,0,10/12(+11),2/3(+13),0/1(+5),1/1(+7),0/3(+4)
qwen2.5:14b-instruct,E2,1.0,0.5,0.5,30,22,0,16/23(+0),3/16(+0),3/6(+0),5/8(+0),3/7(+0)
qwen2.5:32b-instruct,E1,0.3,0.233,0.778,4,4,0,4/7(+16),3/3(+13),3/3(+3),3/3(+5),1/2(+5)
qwen2.5:32b-instruct,E2,1.0,0.617,0.617,23,19,0,7/23(+0),12/16(+0),5/6(+0),7/8(+0),6/7(+0)
qwen2.5:3b-instruct-fp16,E1,0.767,0.483,0.63,17,13,0,2/18(+5),11/11(+5),4/4(+2),6/6(+2),6/7(+0)
qwen2.5:3b-instruct-fp16,E2,1.0,0.65,0.65,21,20,0,8/23(+0),14/16(+0),4/6(+0),7/8(+0),6/7(+0)
qwen2.5:3b-instruct-q4_K_M,E1,0.933,0.567,0.607,22,21,0,0/22(+1),13/13(+3),6/6(+0),8/8(+0),7/7(+0)
qwen2.5:3b-instruct-q4_K_M,E2,1.0,0.667,0.667,20,7,0,3/23(+0),16/16(+0),6/6(+0),8/8(+0),7/7(+0)
qwen2.5:3b-instruct-q5_K_M,E1,0.7,0.45,0.643,15,6,0,2/16(+7),10/10(+6),3/4(+2),6/6(+2),6/6(+1)
qwen2.5:3b-instruct-q5_K_M,E2,1.0,0.667,0.667,20,15,0,14/23(+0),11/16(+0),4/6(+0),6/8(+0),5/7(+0)
qwen2.5:3b-instruct-q8_0,E1,0.733,0.467,0.636,16,11,0,2/17(+6),10/10(+6),3/4(+2),6/6(+2),7/7(+0)
qwen2.5:3b-instruct-q8_0,E2,1.0,0.667,0.667,20,19,0,10/23(+0),13/16(+0),4/6(+0),7/8(+0),6/7(+0)
qwen2.5:7b-instruct-fp16,E1,0.183,0.133,0.727,3,2,0,5/6(+17),0/1(+15),1/2(+4),2/2(+6),0/0(+7)
qwen2.5:7b-instruct-fp16,E2,1.0,0.5,0.5,30,26,0,22/23(+0),1/16(+0),1/6(+0),4/8(+0),2/7(+0)
qwen2.5:7b-instruct-q4_K_M,E1,0.15,0.1,0.667,3,2,0,3/4(+19),0/0(+16),1/2(+4),2/2(+6),0/1(+6)
qwen2.5:7b-instruct-q4_K_M,E2,1.0,0.45,0.45,33,29,0,21/23(+0),0/16(+0),1/6(+0),4/8(+0),1/7(+0)
qwen2.5:7b-instruct-q5_K_M,E1,0.167,0.133,0.8,2,1,0,5/6(+17),0/0(+16),1/2(+4),2/2(+6),0/0(+7)
qwen2.5:7b-instruct-q5_K_M,E2,1.0,0.483,0.483,31,26,0,22/23(+0),1/16(+0),1/6(+0),4/8(+0),1/7(+0)
qwen2.5:7b-instruct-q8_0,E1,0.183,0.133,0.727,3,2,0,5/6(+17),0/1(+15),1/2(+4),2/2(+6),0/0(+7)
qwen2.5:7b-instruct-q8_0,E2,1.0,0.5,0.5,30,26,0,22/23(+0),1/16(+0),1/6(+0),4/8(+0),2/7(+0)
